"timestamp [UTC]","session_Id",form,rating,nps
"27-4-2026, 08:02:34.817",Blo7u44SGsmmlt1Lc3Sng3,FormB,3,6
"21-4-2026, 06:40:30.453",cwShdIuxNLkaRKoaMjQMhT,FormA,4,9
"21-4-2026, 07:35:51.433","8xYkU+ebtM9GGRX7PmqCCL",FormB,4,8
"21-4-2026, 08:35:03.417","+dn+QzEQ+pX6oH8pTQVM1d",FormA,5,10
"18-4-2026, 12:49:06.117",BJblkYpptVErpwBgUgC652,FormB,3,8
"18-4-2026, 14:35:39.044","5RxzD+8MfDakt0Ii5+TMbh",FormA,4,9
"18-4-2026, 14:40:36.250",CvnlFlJ38snrscBncohaqu,FormA,5,7
"18-4-2026, 14:47:33.325",DE7OyPRUo7qiByVmH8a4vR,FormA,5,9
"18-4-2026, 14:52:55.474","0CmAF2lItHrJj8iy2r+Dis",FormB,4,8
"19-4-2026, 10:37:50.806",gHlFVi2pyq8zn0dS2GB48Z,FormB,3,3
"19-4-2026, 10:39:19.694",kHNLQNP4Tdb1kGcDJaxGGZ,FormB,3,6
"19-4-2026, 12:56:16.139",Wt0EugCItCDN8lTCe2m2u5,FormA,4,10
"19-4-2026, 13:42:03.297",4jbVtWrwoDWuXB09nJMMGT,FormB,2,6
"20-4-2026, 07:58:17.827",jqvYmyFG5p2bTToRIGgA8P,FormA,4,7
"20-4-2026, 10:14:07.505","Y+3lH9UuggoGya4lqQesFO",FormA,4,9
"20-4-2026, 10:50:49.089",y8C19hd4UMf409Ve1IAA5A,FormB,3,6
"20-4-2026, 10:52:04.884","941m8X9OiXNj/b1yHg7tnZ",FormB,3,6
"20-4-2026, 12:18:41.962",fPulkzZLVekwheE94sbnAU,FormA,3,6
"20-4-2026, 18:57:45.071",6xI3NMqL9KmQVHXp3zWeys,FormA,4,9
"20-4-2026, 19:11:09.145",XqQLJLYuGnfbQHvRzGcRUa,FormB,4,8
"20-4-2026, 19:11:22.160","eJpXeyG6auW9IMQ+eDdJWA",FormA,5,10
"20-4-2026, 19:14:25.398","27+Tv4o8Sh2UJRLt1sKB9F",FormA,4,8
"20-4-2026, 19:19:44.292",MPuI2GEf13t36xGjbecri1,FormB,3,4
"20-4-2026, 20:56:22.963","6I4ESo3Ub2kvSAR1KY9q+J",FormB,4,7
"20-4-2026, 21:32:19.902","TzYSLiC7EOjaoc4/nGK12W",FormB,4,8
