"timestamp [UTC]","session_Id",form,rating,nps
"9-5-2026, 19:42:53.188",rH2DlHuyTIjxYqomTSkSkw,FormC,5,5
"9-5-2026, 19:46:06.642",L9h1MH8Uvg5o41iJW6NU1r,FormC,4,8
"9-5-2026, 20:30:11.931",jeqQbG7xVZ04QPdKTvQ7h0,FormC,5,8
"9-5-2026, 20:48:14.912",1iGAOuDDR5inanz2RJk6qY,FormB,5,10
"9-5-2026, 20:54:40.381",YmTeeRApeaZg8T1nSZt2IO,FormC,5,10
"9-5-2026, 21:28:52.998","RnzJAlthw0tt/pP+c3vq1k",FormB,3,6
"10-5-2026, 09:40:53.463","bq2YFMgaMv8rkrSd/kOMp8",FormB,4,8
"10-5-2026, 11:18:21.373",UmEqspbdUf0SpHTeERrYzt,FormB,4,7
"10-5-2026, 12:02:50.295","pe/emZw8ISfpK+fn52pUm0",FormB,4,9
"10-5-2026, 13:35:18.530",ikxT08ILxyLmjTGRChGC6P,FormB,4,8
"10-5-2026, 16:24:12.092","WLoWEV4xQjQFPDlK/F+iAo",FormB,4,7
"10-5-2026, 19:57:17.878",hZFqD8r8Kxg7HyCBxBkm92,FormB,3,5
"11-5-2026, 04:16:03.304",bdAPdeDRGq7gmsJq4RKgJ8,FormC,4,8
"11-5-2026, 09:55:20.061",u74szk2HdGJt3qcMleD1uv,FormB,5,8
"11-5-2026, 10:40:53.316",zdjOnI0xlL6A9sF7vJJfpj,FormB,3,5
"11-5-2026, 21:03:40.032",C5GIK1EzsIK1TXIs9phtab,FormC,4,8
"11-5-2026, 22:33:52.555",oZgpRPcyDV1eejfwnnoXVe,FormC,4,7
"12-5-2026, 05:32:37.209",EfnVeGveUPAzLFdohMmLhm,FormC,4,7
"12-5-2026, 07:37:10.220",ponKXvtrcIUsFBY4pidx88,FormC,3,7
"12-5-2026, 09:19:06.441",WfizYciG8UcacsduTsEsbE,FormB,4,8
"12-5-2026, 09:43:17.322","dHeqhuBuIR+VsDHyBWPDmk",FormC,5,9
"12-5-2026, 12:47:51.605",IFsylMMr8CMi5bGyN4nyZQ,FormC,4,10
"12-5-2026, 15:21:28.985",julWWkcyAkEFHVuCnrz68v,FormB,4,8
"12-5-2026, 15:24:15.413","MX0oKHxc4kssNoG72/8ar+",FormC,4,8
"14-5-2026, 08:43:29.533","7+OTXhhExV+lZen8EuD6Nb",FormC,4,7
