"session_Id",form,totaalFouten
Blo7u44SGsmmlt1Lc3Sng3,FormB,2
cwShdIuxNLkaRKoaMjQMhT,FormA,1
"8xYkU+ebtM9GGRX7PmqCCL",FormB,3
"+dn+QzEQ+pX6oH8pTQVM1d",FormA,2
jqvYmyFG5p2bTToRIGgA8P,FormA,7
y8C19hd4UMf409Ve1IAA5A,FormB,4
fPulkzZLVekwheE94sbnAU,FormA,1
MPuI2GEf13t36xGjbecri1,FormB,10
XqQLJLYuGnfbQHvRzGcRUa,FormB,1
"6I4ESo3Ub2kvSAR1KY9q+J",FormB,1
"TzYSLiC7EOjaoc4/nGK12W",FormB,5
BJblkYpptVErpwBgUgC652,FormB,8
"3Ovnz7g/bAb6b/eaFcQWrO",FormB,1
"0CmAF2lItHrJj8iy2r+Dis",FormB,1
kHNLQNP4Tdb1kGcDJaxGGZ,FormB,4
gHlFVi2pyq8zn0dS2GB48Z,FormB,5
4jbVtWrwoDWuXB09nJMMGT,FormB,7
