"timestamp [UTC]","session_Id",form,duur
"27-4-2026, 07:56:39.643",Blo7u44SGsmmlt1Lc3Sng3,FormB,26
"21-4-2026, 06:38:05.060",cwShdIuxNLkaRKoaMjQMhT,FormA,27
"21-4-2026, 07:34:35.497","8xYkU+ebtM9GGRX7PmqCCL",FormB,15
"21-4-2026, 08:33:37.249","+dn+QzEQ+pX6oH8pTQVM1d",FormA,25
"18-4-2026, 12:47:22.586",BJblkYpptVErpwBgUgC652,FormB,52
"18-4-2026, 14:28:56.034","3Ovnz7g/bAb6b/eaFcQWrO",FormB,54
"18-4-2026, 14:34:16.209","5RxzD+8MfDakt0Ii5+TMbh",FormA,25
"18-4-2026, 14:38:19.342",CvnlFlJ38snrscBncohaqu,FormA,20
"18-4-2026, 14:45:12.082",DE7OyPRUo7qiByVmH8a4vR,FormA,75
"18-4-2026, 14:52:05.841","0CmAF2lItHrJj8iy2r+Dis",FormB,34
"19-4-2026, 10:34:00.878",gHlFVi2pyq8zn0dS2GB48Z,FormB,35
"19-4-2026, 10:34:57.370",kHNLQNP4Tdb1kGcDJaxGGZ,FormB,27
"19-4-2026, 12:55:10.186",Wt0EugCItCDN8lTCe2m2u5,FormA,13
"19-4-2026, 13:31:09.706",4jbVtWrwoDWuXB09nJMMGT,FormB,98
"20-4-2026, 07:57:17.580",jqvYmyFG5p2bTToRIGgA8P,FormA,25
"20-4-2026, 10:12:03.076","Y+3lH9UuggoGya4lqQesFO",FormA,18
"20-4-2026, 10:49:29.319",y8C19hd4UMf409Ve1IAA5A,FormB,65
"20-4-2026, 10:51:21.900","941m8X9OiXNj/b1yHg7tnZ",FormB,53
"20-4-2026, 12:11:36.499",fPulkzZLVekwheE94sbnAU,FormA,17
"20-4-2026, 18:55:11.306",6xI3NMqL9KmQVHXp3zWeys,FormA,42
"20-4-2026, 19:07:02.982","eJpXeyG6auW9IMQ+eDdJWA",FormA,19
"20-4-2026, 19:10:23.774",XqQLJLYuGnfbQHvRzGcRUa,FormB,27
"20-4-2026, 19:13:32.204","27+Tv4o8Sh2UJRLt1sKB9F",FormA,53
"20-4-2026, 19:14:12.508",MPuI2GEf13t36xGjbecri1,FormB,229
"20-4-2026, 20:48:17.793","6I4ESo3Ub2kvSAR1KY9q+J",FormB,159
"20-4-2026, 21:30:46.159","TzYSLiC7EOjaoc4/nGK12W",FormB,82
