"timestamp [UTC]","session_Id",form,duur
"11-5-2026, 03:59:01.878",bdAPdeDRGq7gmsJq4RKgJ8,FormC,1022
"11-5-2026, 09:47:09.442",u74szk2HdGJt3qcMleD1uv,FormB,491
"11-5-2026, 10:36:46.533",zdjOnI0xlL6A9sF7vJJfpj,FormB,247
"11-5-2026, 20:54:01.491",C5GIK1EzsIK1TXIs9phtab,FormC,579
"11-5-2026, 22:23:09.724",oZgpRPcyDV1eejfwnnoXVe,FormC,643
"9-5-2026, 19:30:39.477",L9h1MH8Uvg5o41iJW6NU1r,FormC,927
"9-5-2026, 19:34:56.489",rH2DlHuyTIjxYqomTSkSkw,FormC,477
"9-5-2026, 20:25:34.864",jeqQbG7xVZ04QPdKTvQ7h0,FormC,277
"9-5-2026, 20:40:12.630",1iGAOuDDR5inanz2RJk6qY,FormB,482
"9-5-2026, 20:46:47.705",YmTeeRApeaZg8T1nSZt2IO,FormC,473
"9-5-2026, 21:15:52.314","RnzJAlthw0tt/pP+c3vq1k",FormB,781
"12-5-2026, 05:11:26.779",EfnVeGveUPAzLFdohMmLhm,FormC,1271
"12-5-2026, 07:32:41.702",ponKXvtrcIUsFBY4pidx88,FormC,269
"12-5-2026, 09:13:30.669",WfizYciG8UcacsduTsEsbE,FormB,336
"12-5-2026, 09:39:07.298","dHeqhuBuIR+VsDHyBWPDmk",FormC,250
"12-5-2026, 12:36:49.780",IFsylMMr8CMi5bGyN4nyZQ,FormC,662
"12-5-2026, 15:10:21.105","l3/IvISQreGlGRu13cRhrE",FormA,104
"12-5-2026, 15:14:18.334","MX0oKHxc4kssNoG72/8ar+",FormC,597
"12-5-2026, 15:15:03.649",julWWkcyAkEFHVuCnrz68v,FormB,386
"10-5-2026, 09:33:39.349","bq2YFMgaMv8rkrSd/kOMp8",FormB,434
"10-5-2026, 11:09:04.560",UmEqspbdUf0SpHTeERrYzt,FormB,557
"10-5-2026, 11:57:50.978","pe/emZw8ISfpK+fn52pUm0",FormB,300
"10-5-2026, 13:19:41.490",ikxT08ILxyLmjTGRChGC6P,FormB,937
"10-5-2026, 16:17:10.409","WLoWEV4xQjQFPDlK/F+iAo",FormB,422
"10-5-2026, 19:48:17.519",hZFqD8r8Kxg7HyCBxBkm92,FormB,1274
"14-5-2026, 08:38:49.441","7+OTXhhExV+lZen8EuD6Nb",FormC,280
