"timestamp [UTC]","session_Id",form,duur
"20-4-2026, 07:51:55.862",jqvYmyFG5p2bTToRIGgA8P,FormA,382
"20-4-2026, 10:06:53.780","Y+3lH9UuggoGya4lqQesFO",FormA,434
"20-4-2026, 10:35:24.138",y8C19hd4UMf409Ve1IAA5A,FormB,925
"20-4-2026, 10:48:02.389","941m8X9OiXNj/b1yHg7tnZ",FormB,242
"20-4-2026, 12:04:35.898",fPulkzZLVekwheE94sbnAU,FormA,847
"20-4-2026, 18:46:58.212",6xI3NMqL9KmQVHXp3zWeys,FormA,647
"20-4-2026, 18:50:28.864",MPuI2GEf13t36xGjbecri1,FormB,1756
"20-4-2026, 19:01:21.566","27+Tv4o8Sh2UJRLt1sKB9F",FormA,784
"20-4-2026, 19:01:23.668","eJpXeyG6auW9IMQ+eDdJWA",FormA,599
"20-4-2026, 19:05:52.384",XqQLJLYuGnfbQHvRzGcRUa,FormB,317
"20-4-2026, 20:41:45.113","6I4ESo3Ub2kvSAR1KY9q+J",FormB,878
"20-4-2026, 21:21:41.351","TzYSLiC7EOjaoc4/nGK12W",FormB,638
"27-4-2026, 07:48:25.070",Blo7u44SGsmmlt1Lc3Sng3,FormB,849
"21-4-2026, 06:27:54.947",cwShdIuxNLkaRKoaMjQMhT,FormA,756
"21-4-2026, 07:31:25.360","8xYkU+ebtM9GGRX7PmqCCL",FormB,266
"21-4-2026, 08:27:37.873","+dn+QzEQ+pX6oH8pTQVM1d",FormA,446
"18-4-2026, 12:41:46.073",BJblkYpptVErpwBgUgC652,FormB,440
"18-4-2026, 14:23:58.686","3Ovnz7g/bAb6b/eaFcQWrO",FormB,475
"18-4-2026, 14:27:38.955","5RxzD+8MfDakt0Ii5+TMbh",FormA,481
"18-4-2026, 14:31:14.414",CvnlFlJ38snrscBncohaqu,FormA,562
"18-4-2026, 14:31:22.189","gQBmxu508QAb+boKv61r3V",FormB,440
"18-4-2026, 14:37:53.018",DE7OyPRUo7qiByVmH8a4vR,FormA,580
"18-4-2026, 14:47:58.456","0CmAF2lItHrJj8iy2r+Dis",FormB,297
"19-4-2026, 10:28:06.861",gHlFVi2pyq8zn0dS2GB48Z,FormB,626
"19-4-2026, 10:29:00.883",kHNLQNP4Tdb1kGcDJaxGGZ,FormB,619
"19-4-2026, 12:50:32.889",Wt0EugCItCDN8lTCe2m2u5,FormA,344
"19-4-2026, 13:06:57.339",4jbVtWrwoDWuXB09nJMMGT,FormB,2106
